frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"124","Feb 10, 2020 21:51:21.321842531 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46328 → 443 [ACK] Seq=136 Ack=155 Win=501 Len=0 TSval=2923784501 TSecr=1460849728"
"125","Feb 10, 2020 21:51:21.321938020 IST","101","35","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","87","6","Application Data"
"126","Feb 10, 2020 21:51:21.628235133 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","52","6","443 → 46328 [ACK] Seq=155 Ack=171 Win=123 Len=0 TSval=1460850106 TSecr=2923784501"
"127","Feb 10, 2020 21:51:22.848716827 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"128","Feb 10, 2020 21:51:22.848813348 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"129","Feb 10, 2020 21:51:22.848826468 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"130","Feb 10, 2020 21:51:22.848995212 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"131","Feb 10, 2020 21:51:24.849356076 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"132","Feb 10, 2020 21:51:24.851852711 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"133","Feb 10, 2020 21:51:24.851865023 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"134","Feb 10, 2020 21:51:24.851873768 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"135","Feb 10, 2020 21:51:26.849844510 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"136","Feb 10, 2020 21:51:26.852402647 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"137","Feb 10, 2020 21:51:26.852421834 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"138","Feb 10, 2020 21:51:26.852431278 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"139","Feb 10, 2020 21:51:28.850003845 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"140","Feb 10, 2020 21:51:28.852509733 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"141","Feb 10, 2020 21:51:28.852514199 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"142","Feb 10, 2020 21:51:28.852569641 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"143","Feb 10, 2020 21:51:29.822103634 IST","419","353","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","405","6","Application Data"
"144","Feb 10, 2020 21:51:29.822217197 IST","419","353","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","405","6","Application Data"
"145","Feb 10, 2020 21:51:29.822237245 IST","90","24","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.30.253.125","192.168.0.104","76","6","Application Data"
"146","Feb 10, 2020 21:51:29.822618286 IST","94","28","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","192.30.253.125","80","6","Application Data"
"147","Feb 10, 2020 21:51:29.864814437 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46322 → 443 [ACK] Seq=36 Ack=385 Win=501 Len=0 TSval=2923793044 TSecr=1460858304"
"148","Feb 10, 2020 21:51:29.864840436 IST","66","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","52.20.208.148","52","6","46328 → 443 [ACK] Seq=171 Ack=508 Win=501 Len=0 TSval=2923793044 TSecr=1460858305"
"149","Feb 10, 2020 21:51:30.126686885 IST","66","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.30.253.125","192.168.0.104","52","6","443 → 52474 [ACK] Seq=25 Ack=29 Win=31 Len=0 TSval=3913666610 TSecr=3421456011"
"150","Feb 10, 2020 21:51:30.227589281 IST","459",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","445","17","NOTIFY * HTTP/1.1 "
"151","Feb 10, 2020 21:51:30.233826073 IST","468",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","454","17","NOTIFY * HTTP/1.1 "
"152","Feb 10, 2020 21:51:30.330547504 IST","531",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","517","17","NOTIFY * HTTP/1.1 "
"153","Feb 10, 2020 21:51:30.338106928 IST","523",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","509","17","NOTIFY * HTTP/1.1 "
"154","Feb 10, 2020 21:51:30.432402522 IST","468",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","454","17","NOTIFY * HTTP/1.1 "
"155","Feb 10, 2020 21:51:30.541945718 IST","468",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","454","17","NOTIFY * HTTP/1.1 "
"156","Feb 10, 2020 21:51:30.739498600 IST","459",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","445","17","NOTIFY * HTTP/1.1 "
"157","Feb 10, 2020 21:51:30.849585195 IST","523",,"68:ff:7b:9c:eb:36","01:00:5e:7f:ff:fa","192.168.0.1","239.255.255.250","509","17","NOTIFY * HTTP/1.1 "
"158","Feb 10, 2020 21:51:30.850089404 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,
